2,count
GONZALEZ,35771
MUÑOZ,30091
DIAZ,18964
ROJAS,17888
PEREZ,16698
SOTO,15370
MORALES,14385
LOPEZ,14118
FUENTES,13393
FLORES,13153
SANCHEZ,12277
SILVA,11173
HERNANDEZ,10918
CONTRERAS,10887
VASQUEZ,10863
RAMIREZ,10838
RODRIGUEZ,10762
SEPULVEDA,10448
MARTINEZ,10357
VALENZUELA,10336
ESPINOZA,10136
ALVAREZ,9622
TORRES,8917
CASTRO,8878
VARGAS,8814
REYES,8699
MOLINA,8601
NUÑEZ,8597
GUTIERREZ,8589
CARRASCO,8162
GARCIA,8097
ROMERO,7794
ARAYA,7753
FIGUEROA,7579
GOMEZ,7327
CASTILLO,7271
JARA,7114
ORELLANA,7014
MIRANDA,7012
TAPIA,6937
FERNANDEZ,6335
CAMPOS,6236
HERRERA,5918
ZUÑIGA,5729
LEIVA,5642
SALAZAR,5623
SAAVEDRA,5587
MORENO,5569
LAGOS,5552
NAVARRO,5458
PARRA,5440
VALDES,5343
ESCOBAR,5335
VERGARA,5315
ARAVENA,5306
BUSTOS,5301
POBLETE,5249
SALINAS,5128
BRAVO,5119
GUZMAN,5077
RIQUELME,5003
ORTEGA,4967
PEÑA,4934
CORTES,4829
DONOSO,4724
GODOY,4670
FARIAS,4649
YAÑEZ,4571
SANDOVAL,4550
CATALAN,4510
ALARCON,4496
CALDERON,4458
RIVERA,4427
VERA,4357
OSORIO,4216
BURGOS,4018
ORTIZ,4007
CERDA,3993
VIDAL,3973
GARRIDO,3972
JIMENEZ,3927
CORNEJO,3921
ACUÑA,3886
VEGA,3855
CARDENAS,3837
INOSTROZA,3830
TORO,3811
RIVAS,3719
SAEZ,3716
AGUILERA,3670
BARRERA,3644
ACEVEDO,3644
TRONCOSO,3600
PALMA,3597
CACERES,3582
NAVARRETE,3526
MORA,3471
ALVARADO,3348
TOLEDO,3293
QUEZADA,3259
OLIVARES,3229
HENRIQUEZ,3227
RUIZ,3183
PACHECO,3133
SALAS,3123
MEZA,3115
PAVEZ,3090
RUBIO,3078
CORREA,3055
AVILA,3054
MEDINA,3054
LEON,3054
MOYA,3028
GALVEZ,3006
PINO,2984
MALDONADO,2977
SAN,2977
RIOS,2966
HIDALGO,2964
MARIN,2957
LARA,2938
PINTO,2936
GATICA,2886
GUAJARDO,2883
REBOLLEDO,2839
IBARRA,2830
CARVAJAL,2821
PAREDES,2812
ARRIAGADA,2811
SANTIBAÑEZ,2769
GALLARDO,2748
PONCE,2729
GUERRERO,2683
CHAVEZ,2661
CUEVAS,2650
SANHUEZA,2646
PIZARRO,2636
RIVEROS,2611
PARDO,2602
ASTUDILLO,2594
DUARTE,2591
VELASQUEZ,2555
RAMOS,2547
ARANCIBIA,2523
ZAPATA,2521
AGUILAR,2514
ARIAS,2491
DURAN,2486
FUENTEALBA,2438
VILCHES,2368
GUERRA,2363
SOLIS,2357
CABRERA,2341
BUSTAMANTE,2341
MENDEZ,2340
LOBOS,2332
PLAZA,2278
ALFARO,2230
ROMAN,2222
MARTIN,2219
RETAMAL,2204
LASTARRIA,2200
MARDONES,2195
VENEGAS,2191
