1,count
GONZALEZ,28616
MUÑOZ,24915
DIAZ,18342
ROJAS,18213
LOPEZ,14204
MORALES,13780
MARTINEZ,13227
HERNANDEZ,13223
SILVA,13167
FLORES,13116
SOTO,12824
FUENTES,12643
PEREZ,12522
REYES,11716
SEPULVEDA,11531
RODRIGUEZ,11381
ESPINOZA,11301
CASTRO,10933
ALVAREZ,10883
SANCHEZ,10727
VALENZUELA,10462
RAMIREZ,10361
TORRES,10065
CASTILLO,9777
CONTRERAS,9620
GUTIERREZ,9535
VASQUEZ,8469
CARRASCO,8413
VARGAS,8391
GOMEZ,8138
BRAVO,7965
FERNANDEZ,7815
NUÑEZ,7799
CAMPOS,7411
ZUÑIGA,7401
VALDES,7361
HERRERA,6940
JARA,6895
ROMERO,6853
MIRANDA,6816
ARAYA,6810
JIMENEZ,6520
FIGUEROA,6515
SALINAS,6398
PALMA,6172
ORELLANA,6036
GARCIA,5985
MOLINA,5925
ORTIZ,5568
VERGARA,5502
SALAZAR,5481
LAGOS,5418
ESCOBAR,5414
MORENO,5409
NAVARRO,5387
AGUILERA,5381
LEIVA,5298
MEDINA,5220
YAÑEZ,5181
ORTEGA,5107
TAPIA,5093
SANDOVAL,4989
RIQUELME,4906
MORA,4887
PEÑA,4688
SAAVEDRA,4574
GALLARDO,4558
CORNEJO,4533
RIVERA,4510
VERA,4492
GODOY,4475
BUSTOS,4449
VIDAL,4370
VENEGAS,4364
CERDA,4348
ARAVENA,4343
ALARCON,4161
PARRA,4053
OLIVARES,3945
TRONCOSO,3916
GUZMAN,3891
ACEVEDO,3846
FARIAS,3841
LEON,3819
PIZARRO,3805
QUEZADA,3794
GUERRERO,3739
RIVAS,3706
NAVARRETE,3669
OSORIO,3625
PINO,3599
MARIN,3595
GUERRA,3567
TORO,3566
VEGA,3524
DONOSO,3458
AHUMADA,3457
POBLETE,3442
MENDEZ,3412
CARDENAS,3362
AYALA,3348
RUIZ,3346
GARRIDO,3342
RAMOS,3300
ROBLES,3291
ARIAS,3237
CORTES,3232
PONCE,3216
CACERES,3215
SALAS,3211
RIVEROS,3170
BUSTAMANTE,3168
ALFARO,3145
ARENAS,3124
BARRERA,3119
BECERRA,3080
ALVARADO,3074
DURAN,2970
CANALES,2961
ARANCIBIA,2954
CIFUENTES,2901
PINTO,2889
IBARRA,2839
PAREDES,2826
SAEZ,2808
CALDERON,2776
AGUILAR,2773
CATALAN,2702
CHAVEZ,2691
MEZA,2691
CANCINO,2679
SAN,2629
PAVEZ,2615
MOYA,2610
HENRIQUEZ,2597
ABARCA,2530
ASTUDILLO,2524
SOLIS,2488
LARA,2445
ULLOA,2419
GUAJARDO,2399
DELGADO,2388
ACUÑA,2371
BRIONES,2341
PACHECO,2314
PALACIOS,2310
CARREÑO,2253
CABRERA,2246
MORAGA,2238
GAJARDO,2237
MATAMALA,2230
SUAREZ,2217
URIBE,2211
VELASQUEZ,2208
MELLA,2178
HERMOSILLA,2143
MALDONADO,2143
CARVAJAL,2140
QUIROZ,2134
DOMINGUEZ,2126
BAEZA,2079
ZAPATA,2075
MENDOZA,2067
JORQUERA,2063
FERREIRA,2051
CARO,2049
GATICA,2042
VALENCIA,2037
CABELLO,2024
ARCE,2008
RUZ,1997
BARRAZA,1973
GALVEZ,1954
RETAMAL,1954
CANTILLANA,1953
VILCHES,1935
PARADA,1920
ROA,1914
RUBIO,1911
CABEZAS,1877
GARCES,1876
SANTIBAÑEZ,1865
VILLALOBOS,1863
TOLEDO,1860
GONZALES,1858
INOSTROZA,1828
JEREZ,1811
RIOS,1795
SALGADO,1788
ARANEDA,1787
OSSES,1785
MARDONES,1770
MEJIAS,1761
MENESES,1757
AREVALO,1753
CUEVAS,1751
VALDEBENITO,1737
HIDALGO,1735
HUERTA,1722
SERRANO,1714
CONCHA,1705
NEIRA,1704
