NOMBRE,Frecuencia
MARIA,65645
JUAN,43414
LUIS,39439
JOSE,37440
CARLOS,24191
MANUEL,19544
ROSA,17473
ANA,16073
VICTOR,14552
JORGE,14220
SERGIO,13864
HECTOR,13697
MIGUEL,12164
PEDRO,12090
FRANCISCO,12053
RAUL,10260
MARGARITA,9084
JUANA,8705
CAMILA,8280
DANIELA,7823
JAIME,7703
SOFIA,7530
EDUARDO,7519
DANIEL,6902
PATRICIA,6751
HUGO,6721
CAROLINA,6659
RICARDO,6573
ROBERTO,6561
CONSTANZA,6332
NICOLE,6245
SANDRA,6226
CECILIA,6184
GUILLERMO,6128
OSCAR,6088
CLAUDIO,6057
FERNANDO,5961
LUISA,5894
BENJAMIN,5874
DAVID,5848
JULIO,5827
CLAUDIA,5821
HERNAN,5657
JAVIERA,5643
FRANCISCA,5551
JESSICA,5546
GLADYS,5541
CRISTIAN,5527
PATRICIO,5526
MARIO,5503
SILVIA,5386
ELIZABETH,5386
RODRIGO,5340
MARTA,5277
TERESA,5247
OLGA,5224
ALICIA,5035
MARCO,4962
VERONICA,4866
CATALINA,4831
MAURICIO,4811
ENRIQUE,4618
LUZ,4572
LIDIA,4570
SEBASTIAN,4546
MATIAS,4486
GABRIEL,4453
GLORIA,4426
MONICA,4411
ALEJANDRO,4292
CARMEN,4235
NICOLAS,4176
VALENTINA,4122
ELIANA,4120
VICENTE,4093
JAVIER,4029
NORMA,4024
MARCELO,3835
MATEO,3832
SONIA,3829
MARTINA,3813
FABIAN,3762
PAOLA,3753
BLANCA,3733
MARCELA,3680
ISABEL,3652
ARTURO,3643
RAMON,3638
KATHERINE,3634
ISAAC,3579
HILDA,3576
NELSON,3460
PABLO,3452
ALBERTO,3443
ANGEL,3395
LAURA,3375
EVELYN,3315
EMILIA,3292
ALEJANDRA,3289
MARTIN,3247
AGUSTIN,3197
EDITH,3190
IGNACIO,3177
CLARA,3173
JACQUELINE,3148
JOCELYN,3129
GABRIELA,3120
FELIPE,3120
DIEGO,3049
NANCY,2973
VICTORIA,2941
MARCOS,2937
SANTIAGO,2890
RUTH,2847
JOAQUIN,2839
FERNANDA,2828
